X02152_at,M14328_s_at,J03909_at,X56494_at,L17131_rna1_at,M57710_at,HG1980-HT2023_at,M63138_at,HG417-HT417_s_at,HG2279-HT2375_at,class
1.0892,0.5751,0.2864,0.2385,-0.4566,1.2701,-0.273,-0.2841,-0.13,0.6319,DLBCL
0.6969,0.6552,1.1359,1.0556,1.1669,1.7665,0.7503,1.9918,1.469,0.9211,DLBCL
0.7135,0.7295,0.6743,1.0978,0.8321,1.6699,1.3541,1.4918,1.8897,0.5514,DLBCL
0.1799,1.4979,1.1819,0.7952,-0.6233,0.915,1.035,1.2481,0.464,-0.2269,DLBCL
1.8361,0.4157,-1.2001,-0.4629,-0.5948,-0.1602,0.1624,-0.9257,-0.1755,-0.4481,DLBCL
0.431,1.039,2.1854,1.6311,0.8085,1.0368,-0.073,2.4516,1.6727,0.7028,DLBCL
0.4181,1.8786,0.4812,3.5468,3.1864,1.4152,2.3817,0.7998,-0.4892,0.4732,DLBCL
-1.4711,0.5878,-0.0356,0.3127,1.3866,0.7927,-0.4194,-0.3304,-0.7234,-0.2086,DLBCL
0.1741,0.4852,-0.2851,0.1235,1.3121,1.1301,2.0213,0.2129,-0.37,0.6174,DLBCL
0.9691,0.6116,1.8024,1.4245,1.1462,2.8769,0.6039,1.9651,1.8181,0.9047,DLBCL
-0.4176,0.8032,-1.0743,0.5817,1.2713,0.0221,1.5378,-0.0105,-0.9904,-0.3795,DLBCL
0.1194,0.6802,1.1046,1.31,0.4685,2.5626,0.8128,1.911,2.0383,0.837,DLBCL
1.7325,1.0095,2.1016,2.0677,1.4824,0.7241,2.1014,1.5173,1.7498,2.6604,DLBCL
0.1362,1.6041,1.8117,-0.0513,-0.8719,-0.0753,0.0985,0.5968,1.3793,-0.647,DLBCL
-1.1233,-1.0924,-0.4043,-1.1376,-1.2687,-0.6794,-1.0436,-0.4945,-0.6701,-1.1284,DLBCL
0.9492,0.5553,0.0512,0.6733,0.3777,0.9427,1.2901,0.1814,-0.0965,1.1798,DLBCL
-0.0812,0.0301,-0.5245,-0.0733,0.7598,-0.6921,-0.0013,-0.0424,-0.8609,0.6556,DLBCL
1.1355,-0.1354,0.0114,1.0176,-0.1539,0.7422,-0.3038,-0.6039,-0.1577,0.6716,DLBCL
1.2505,1.3074,-0.1266,0.7871,1.3739,-0.0794,1.7174,0.6749,-0.5733,2.1828,DLBCL
0.3537,-0.5114,-0.5827,-0.7212,-0.0868,0.2255,-0.6286,-0.3658,-0.8858,-0.4866,DLBCL
