35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,39332_at,33021_at,33870_at,class
-0.68013,-0.62846,-0.67652,-0.93077,-0.57119,-0.82785,-0.75845,-0.7774,-0.48783,-0.81567,after Th
-0.83938,-0.63839,-0.73718,-0.98074,-0.78706,-0.75826,-0.71121,-0.77311,-0.60904,-0.88878,after Th
-0.2901,-0.32021,-0.50492,0.82017,0.66361,-0.12124,-0.22215,-0.1348,-0.61377,0.17743,after Th
-0.96062,-0.56125,-0.82959,-0.93448,-0.73372,-0.8994,-0.62549,-0.71034,-0.56843,-0.86584,after Th
-0.75875,-0.60804,-0.67213,-0.91419,-0.65476,-0.64938,-0.8113,-0.71406,-0.66685,-0.92051,after Th
0.13714,-0.43826,-0.3112,-0.02601,-0.27962,0.42735,-0.48405,-0.20696,-0.01907,0.19654,after Th
-0.88937,-0.63637,-0.67618,-0.92133,-0.77371,-0.77,-0.81149,-0.734,-0.60087,-0.89312,after Th
0.12018,-0.54139,-0.38696,-0.21013,-0.10133,0.20076,-0.34343,-0.41458,-0.3107,0.4192,after Th
-0.9187,-0.62393,-0.75786,-0.88835,-0.7499,-0.80414,-0.71715,-0.77432,-0.59097,-0.80876,after Th
-0.75623,-0.61032,-0.75568,-0.83236,-0.75435,-0.78375,-0.72238,-0.72077,-0.53824,-0.81395,after Th
-0.84406,-0.61315,-0.74851,-0.95607,-0.77165,-0.78136,-0.80683,-0.70775,-0.68362,-0.86951,after Th
-0.92057,-0.60738,-0.77499,-0.95064,-0.61811,-0.76817,-0.7084,-0.74751,-0.67863,-0.85427,after Th
-0.06341,-0.37401,-0.22587,-0.06517,0.2143,-0.13882,-0.15801,-0.29971,-0.53832,0.44066,after Th
-0.85963,-0.58407,-0.84259,-0.85587,-0.6814,-0.88898,-0.72698,-0.77335,-0.46787,-0.88406,after Th
-0.88065,-0.62787,-0.78635,-0.93507,-0.79143,-0.81536,-0.65613,-0.70989,-0.68199,-0.80002,after Th
0.20925,-0.20289,0.09722,0.09848,-0.82654,0.83657,-0.13854,0.2624,-0.53961,0.44946,after Th
-0.85669,-0.63749,-0.01057,-0.93461,-0.80119,-0.8858,-0.73049,-0.80252,-0.64629,-0.86081,after Th
-0.96017,-0.58513,-0.77465,-0.8137,-0.53796,-0.69255,-0.74415,-0.70152,-0.67812,-0.95025,after Th
-0.92403,-0.61868,-0.72741,-1.02137,-0.78929,-0.86208,-0.74319,-0.82428,-0.6093,-0.83343,after Th
0.50439,-0.43739,-0.10582,0.42254,-0.42373,0.18813,-0.27111,-0.42716,-0.35397,0.36955,after Th
0.7308,-0.59832,-0.57776,0.0468,0.73991,0.32904,0.4709,0.05579,-0.38675,0.04452,after Th
-0.93843,-0.65138,-0.76043,-0.90902,-0.75298,-0.87326,-0.76291,-0.78618,-0.54245,-0.81887,after Th
-0.8873,-0.44849,-0.67827,-0.72507,-0.5479,-0.84861,-0.78698,-0.72599,-0.64104,-0.74938,after Th
0.61998,0.15673,-0.21188,0.81812,-0.70417,-0.76785,-0.5436,-0.47379,0.51584,-0.15169,after Th
-0.95491,-0.65228,-0.7787,-0.91962,-0.81969,-0.83893,-0.74045,-0.79435,-0.68121,-0.86359,after Th
-0.8534,-0.62667,-0.61866,-0.89545,-0.93135,-0.78281,-0.70777,-0.68251,-0.56904,-0.8494,after Th
-0.85216,-0.6227,-0.74644,-0.93741,-0.77542,-0.84155,-0.69813,-0.7122,-0.56379,-0.83851,after Th
-0.97689,-0.57153,-0.58051,-0.9263,-0.561,-0.71444,-0.57743,-0.68137,-0.49316,-0.94271,after Th
0.37176,-0.36093,-0.021,1.03777,-0.19741,-0.02209,-0.02697,0.1233,-0.10157,0.56388,after Th
-0.75816,-0.59654,-0.82566,-0.9268,-0.80479,-0.78655,-0.75149,-0.70188,-0.64801,-0.80185,after Th
-0.81937,-0.51101,-0.8194,-0.77847,-0.75572,-0.72346,-0.57009,-0.60323,-0.65239,-0.7764,after Th
-0.90017,-0.64585,-0.65406,-0.90025,-0.72001,-0.75737,-0.71338,-0.69715,-0.52852,-0.87432,after Th
-0.88023,-0.55187,0.14896,0.251,-0.69535,0.28419,-0.36705,0.15788,-0.27207,0.38945,after Th
-0.90222,-0.54496,-0.76389,-0.84948,-0.65425,-0.85268,-0.776,-0.73873,-0.58091,-0.87972,after Th
-0.44039,-0.14107,0.5484,-0.27634,-0.60887,0.52117,0.65077,0.07832,0.29157,-0.46205,after Th
-0.82574,-0.58914,-0.71008,-0.85679,-0.78903,-0.82659,-0.69628,-0.63834,-0.67381,-1.06383,after Th
-0.03094,-0.4188,-0.24071,-0.40635,0.86981,-0.11969,0.13414,0.57215,-0.64242,0.09799,after Th
-0.91163,-0.64649,-0.80512,-0.88209,-0.75735,-0.8625,-0.73247,-0.74043,-0.56602,-0.79127,after Th
