37780_at,1462_s_at,37985_at,34361_at,37277_at,32794_g_at,36029_at,38915_at,32287_s_at,36808_at,32249_at,33777_at,31900_at,36377_at,33238_at,1065_at,36490_s_at,35362_at,771_s_at,38319_at,1405_i_at,33145_at,36455_at,38819_at,41097_at,675_at,619_s_at,41198_at,37829_at,41049_at,36591_at,38533_s_at,35193_at,2059_s_at,1104_s_at,34990_at,40954_at,35792_at,1997_s_at,656_at,40463_at,40715_at,35994_at,34665_g_at,41685_at,41468_at,296_at,31742_at,35974_at,32649_at,577_at,38604_at,38051_at,35246_at,37889_at,35791_at,41504_s_at,40708_at,37419_g_at,36856_at,37401_g_at,1536_at,40775_at,36799_at,38803_at,32227_at,41745_at,40688_at,36392_at,33910_at,35862_at,1814_at,39261_at,38620_at,717_at,40377_at,1637_at,34730_g_at,37602_at,1737_s_at,1731_at,245_at,38884_at,35863_g_at,37918_at,36787_at,36874_at,37695_at,36906_at,35936_g_at,39576_at,32625_at,189_s_at,40749_at,33856_at,1426_at,40720_at,36108_at,37571_at,910_at,class
-0.34946,0.44858,-0.48735,-0.27176,-0.62335,-0.38501,-0.40883,-0.61624,-0.46432,-0.57756,-0.34065,-0.42326,-0.15739,-0.60558,-0.47962,0.33621,-0.79108,-0.08423,-0.32564,-0.40356,-0.71892,0.14729,-0.43599,-0.41672,-0.53225,-0.53327,-0.46559,-0.12312,-0.35426,-0.6608,-0.61134,-0.45791,-0.34149,-0.50433,-0.05898,-0.47191,-0.35962,-0.36073,-0.04004,-0.29279,-0.53781,-0.47116,-0.56841,-0.65456,-0.47717,-0.30228,-0.74044,-0.62391,-0.3146,-0.49116,-0.3078,-0.16276,-0.35297,-0.35322,-0.523,-0.39252,-0.43813,-0.69821,-0.18409,-0.84733,-0.2291,-0.39122,-0.53404,-0.2308,-0.53199,-0.41877,-0.5102,-0.43121,-0.56592,-0.57515,-0.36469,-0.23822,-0.76767,-0.56185,-0.4037,-0.78208,-0.54531,-0.80332,-0.07791,0.53911,-0.33404,-0.73898,-0.38834,-0.50463,0.92186,-0.7152,-0.49133,-0.57136,-0.46176,-0.60352,-0.76064,0.08526,-0.3231,-0.41073,-0.79699,-0.79056,-0.74235,-0.13543,-0.37675,0.59207,after Th
-0.35181,-0.23154,-0.4368,-0.00938,-0.28144,0.04213,-0.34749,-0.65181,-0.02604,0.15385,-0.34699,-0.36926,-0.37345,-0.04949,-0.11075,-0.63312,-0.36623,-0.56114,0.00917,-0.03353,0.52799,-0.51038,-0.53994,-0.42488,-0.68311,-0.18927,0.17743,-0.25487,-0.11949,-0.43688,-0.28695,0.10226,-0.41336,-0.14965,-0.61372,-0.28308,-0.10455,-0.48873,-0.19438,-0.45187,-0.52972,-0.16435,-0.5745,-0.45054,-0.50522,-0.22855,-0.44069,-0.32686,-0.51152,-0.02002,-0.81267,-0.59077,0.33087,-0.40007,-0.67358,-0.46067,-0.33078,-0.59257,-0.0337,-0.43731,-0.52766,-0.3589,-0.29336,-0.8098,-0.49263,0.58298,-0.78544,-0.16917,-0.4218,-0.43256,-0.33368,-0.48349,-0.77304,-0.6989,-0.34094,-0.63364,-0.38211,-0.48427,-0.65081,-0.7271,-0.44164,-0.02037,-0.38105,-0.48234,0.13297,-0.53092,0.29396,-0.54457,-0.4577,-0.45608,-0.41114,-0.76521,-0.65012,0.27866,-0.59919,-0.34304,-0.03183,-0.52968,-0.40947,-0.49695,after Th
-0.30509,-0.65088,0.04062,2.1973,2.08677,6.76039,-0.2938,1.35205,-0.36809,3.14827,0.08582,3.64009,-0.52135,-0.27851,6.08462,-0.54144,0.23784,-0.49144,0.02912,5.7246,-0.4478,0.13447,-0.20635,1.73222,-0.54636,0.65274,-0.49487,-0.70495,1.2675,1.61987,-0.72996,-0.29489,3.04142,5.63292,0.77895,-0.57659,6.0219,-0.14379,0.07422,0.80916,-0.5134,-0.56377,-0.87453,-0.11451,0.55266,2.04704,2.51854,-0.20989,-0.41862,3.96224,-0.66141,-0.5721,6.28565,-0.17454,3.86076,-0.62709,-0.38343,0.17545,-0.25136,1.10314,-0.44411,-0.05385,2.56327,0.087,0.18659,0.02512,-0.69193,6.97937,2.61763,2.81307,-0.11425,-0.22523,0.58857,0.54554,4.48394,1.96201,2.24923,3.74709,2.34114,-0.74755,0.12221,1.48721,6.67562,1.96371,0.85388,1.91762,5.56098,0.65856,-0.40589,0.89481,0.67252,-0.59565,0.46017,-0.42699,3.14531,2.84074,3.52525,-0.51991,-0.43577,-0.742,after Th
-0.35309,-0.32085,-0.68843,-0.89774,-0.81682,-0.35512,0.79976,-0.74081,-0.46547,-0.57527,-0.25605,-0.48668,-0.69559,-0.74241,-0.47885,-0.30895,-0.83516,-0.55985,-0.29278,-0.40705,-0.48189,0.09965,0.11168,-0.30287,-0.61639,-0.36544,-0.50796,-0.68787,-0.16669,-0.5646,-0.8092,-0.35172,-0.38127,-0.50689,-0.6135,-0.63367,-0.38554,-0.5124,0.13035,-0.40222,-0.35676,-0.60971,-0.7963,-0.6432,-0.66547,-0.34168,-0.68844,-0.24144,-0.5417,-0.46516,-0.49133,-0.53136,-0.34459,-0.47634,-0.81696,-0.42473,-0.17297,-0.80502,-0.69719,-0.61289,-0.532,-0.36878,-0.19561,-0.55392,-0.60171,-0.50674,-0.26989,-0.44659,-0.43077,-0.5958,-0.71636,-0.21559,-0.73819,-0.61247,-0.19582,-0.54133,-0.5428,-0.8123,-0.54882,-0.69799,-0.32392,-0.79188,-0.36339,-0.56654,-0.75982,-0.5749,-0.46834,-0.4356,-0.4636,-0.72565,-0.40821,-0.42255,-0.81336,-0.43863,-0.43888,-0.70654,-0.90614,-0.53092,-0.48628,-0.80917,after Th
-0.28155,-0.30425,-0.52615,-0.77172,-0.87404,-0.2929,-0.01928,-0.92157,-0.10629,-0.52997,-0.26162,-0.29735,-0.68927,0.08807,-0.40458,-0.44142,-0.21753,0.08452,-0.21043,-0.33725,-0.03421,-0.16568,-0.54581,-0.75967,0.19237,-0.39706,-0.47773,-0.34739,-0.33314,-0.52091,-0.51431,-0.37465,-0.37674,-0.38849,-0.70767,-0.3935,-0.36029,-0.42781,-0.22959,-0.69814,-0.68874,-0.65914,-0.94885,-0.17283,-0.41075,-0.26096,-0.63329,-0.3356,-0.51183,-0.37631,0.37855,-0.42215,-0.3329,-0.63514,-0.27646,-0.42715,-0.38601,-0.66305,-0.46505,-0.82151,-0.52621,-0.51716,-0.49156,-0.54218,-0.59407,-0.39508,-0.41117,-0.34057,-0.85569,-0.54179,-0.66412,-0.6379,-0.38261,-0.72806,-0.42684,-0.40558,-0.49953,-0.43902,-0.68006,-0.52755,-0.44655,-0.57389,-0.26198,-0.74164,-0.65521,-0.75014,-0.47365,-0.49134,-0.44678,-0.47002,-0.27282,-0.06654,-0.44796,-0.34801,0.25072,-0.53608,-0.68983,-0.27054,-0.39926,-0.57808,after Th
2.47228,3.21794,2.42275,-0.54646,1.52318,-0.31095,0.04389,3.44671,-0.20902,-0.44248,-0.31626,0.24431,-0.44443,1.58929,-0.26559,-0.43363,2.09313,1.15528,-0.10252,-0.41121,-0.66374,2.82473,0.13437,1.28142,3.39921,-0.17932,0.22362,0.23777,-0.11912,1.05484,1.19073,0.14097,-0.0764,-0.21188,0.87121,0.87018,-0.30957,-0.07027,0.77512,0.23728,0.4665,-0.52468,1.4565,-0.10666,-0.00769,-0.26497,0.914,-0.14509,-0.26173,-0.2659,3.65806,1.54883,-0.3341,3.84337,0.72765,1.89612,-0.18352,1.7786,-0.14253,0.15898,0.39443,1.60065,-0.34499,2.62064,0.3655,-0.58106,1.04113,-0.36155,2.12382,-0.00925,0.11595,0.01558,1.79036,0.18019,-0.35034,0.52483,0.01881,1.59403,1.58592,0.55505,-0.20549,-0.355,-0.37616,0.17708,-0.67729,0.77667,-0.00163,-0.0817,-0.15774,-0.73003,0.89821,2.73094,1.68593,0.27578,1.84093,0.12608,-0.18836,-0.52152,0.29536,2.16001,after Th
-0.3527,-0.2949,-0.33601,-0.20094,-0.53452,-0.35592,-0.41366,-0.48865,-0.37337,-0.32465,-0.34766,-0.35743,-0.48875,-0.38827,-0.46774,-0.39368,-0.54633,-0.5694,-0.32124,-0.40379,-0.49187,-0.10785,-0.24793,-0.4655,-0.65075,-0.30154,1.28711,-0.51663,-0.34842,-0.56865,0.19147,-0.45475,-0.3855,-0.48897,-0.54884,-0.65301,-0.3399,-0.47599,-0.50743,-0.59604,-0.67242,-0.64014,-0.48163,-0.6432,-0.67236,-0.21649,-0.68186,-0.5761,-0.44637,-0.44896,-0.22995,-0.45062,-0.36015,-0.42513,-0.68079,-0.2482,-0.42902,-0.39507,-0.4885,-0.32354,-0.06598,-0.12117,-0.49726,-0.71607,-0.64231,-0.47821,-0.26792,-0.43443,-0.51212,-0.61363,-0.68677,-0.5556,-0.56199,-0.52936,-0.32381,-0.85685,-0.51656,-0.65273,-0.09499,0.2582,-0.44377,-0.79379,-0.39123,-0.81992,-0.02507,-0.75532,-0.52016,-0.65542,-0.40982,-0.63676,-0.77669,0.15221,-0.42563,1.14697,-0.76103,-0.68312,-0.59317,-0.22005,-0.547,-0.02114,after Th
-0.34764,1.15412,0.32401,0.74908,1.20947,-0.29509,-0.3931,-0.25233,0.13614,0.50849,-0.32183,1.21542,0.73251,2.09221,-0.34676,4.35538,0.81971,-0.53894,-0.12486,-0.36885,0.59561,1.25045,-0.17509,0.56674,-0.20264,-0.12281,-0.39137,4.00366,-0.32084,0.51439,0.08765,1.94791,-0.19758,-0.29462,5.54453,1.21157,-0.33737,2.22708,0.77749,2.35253,2.01733,2.36556,1.94646,0.66465,1.05395,0.16662,-0.51648,0.06338,0.73725,-0.34237,-0.03598,-0.5761,-0.28016,0.71533,0.18122,0.41385,-0.23452,0.57983,4.23303,0.65613,0.98359,0.03857,-0.0143,1.97741,0.88279,5.93955,0.46219,-0.17545,0.24413,-0.42637,1.3298,3.46327,2.02971,1.03162,-0.46883,0.86649,0.92152,-0.52142,2.1871,1.32942,-0.3831,1.44209,-0.32117,1.21541,2.76365,0.28776,-0.47097,1.64123,-0.33676,1.27319,-0.41076,-0.38083,1.93956,-0.24726,-0.27081,2.38402,0.70292,5.54976,-0.11513,0.58511,after Th
-0.35258,-0.72269,-0.80101,-0.13388,-0.48171,-0.35748,-0.40034,-0.31737,-0.47204,-0.64978,-0.31597,-0.53214,-0.6895,-0.76875,-0.43874,-0.45034,-0.7464,-0.56906,-0.34152,-0.40569,-0.67381,-0.73782,-0.57104,-0.81183,-0.53868,-0.24296,1.60012,-0.75523,-0.34159,-0.69565,-0.09144,-0.06345,-0.36059,-0.46506,-0.51729,-0.55712,-0.37292,-0.5096,-0.9877,-0.42405,-0.78694,-0.30374,-0.59101,-0.61095,-0.58088,-0.34671,-0.66765,-0.62319,-0.37949,-0.48104,-0.72832,-0.57009,-0.35332,-0.69724,-0.5081,-0.7513,-0.48055,-0.91153,-0.62441,-0.51195,-0.47178,-0.8564,-0.54623,-0.71335,-0.66806,-0.58932,-0.14887,-0.44078,-0.27593,-0.51766,-0.52297,-0.50715,-0.65068,-0.7001,-0.21985,-0.585,-0.41383,-0.81128,-0.65097,-0.37533,-0.37683,-0.43647,-0.39203,-0.71436,-0.84901,-0.61887,-0.22947,-0.6294,-0.45623,-0.37742,-0.726,-0.6032,-0.66182,1.4442,-0.67895,-0.7177,-0.41209,-0.32574,-0.11683,-0.91613,after Th
-0.34635,-0.7374,-0.51839,-0.22501,-0.39308,-0.34227,-0.39801,-0.74113,-0.13757,-0.63939,-0.34228,-0.49882,-0.47481,-0.52851,-0.36374,-0.61226,-0.49024,-0.57061,-0.29055,-0.37916,-0.52719,-0.4987,-0.51597,-0.63243,-0.6308,-0.47605,-0.41179,-0.48353,-0.33886,-0.49179,-0.81943,-0.46797,-0.35671,-0.42462,-0.73443,-0.31122,-0.36181,-0.49153,-0.84924,-0.2884,-0.53321,-0.15208,-0.36182,-0.66208,-0.31551,-0.31524,-0.67843,-0.58241,0.63558,-0.45061,-0.73256,-0.55738,-0.32349,-0.36548,-0.81199,-0.8222,-0.39126,-0.39815,-0.48298,-0.86475,-0.06291,-0.7354,-0.50691,-0.68225,-0.79322,-0.45737,-0.58729,-0.38927,-0.07582,-0.48147,0.3797,0.26417,-0.71946,-0.52982,0.54009,-0.43706,-0.58553,-0.57622,-0.66773,-0.63052,-0.45306,-0.71679,-0.39553,0.09132,-0.60655,-0.65811,-0.52231,-0.13123,-0.21287,-0.72113,-0.51062,-0.7919,-0.69869,-0.33098,-0.50588,-0.64241,-0.70489,0.14392,-0.11305,-0.9232,after Th
