35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,39332_at,33021_at,33870_at,38447_at,39586_at,36223_at,36783_f_at,36338_at,32545_r_at,37231_at,38414_at,33322_i_at,32815_at,32407_f_at,38687_at,37317_at,36611_at,36605_at,class
-0.68013,-0.62846,-0.67652,-0.93077,-0.57119,-0.82785,-0.75845,-0.7774,-0.48783,-0.81567,-0.81245,-0.63161,-0.90396,-0.91919,-0.85904,-0.87056,-0.73266,-0.77092,-0.92794,-0.62016,-0.733,-0.93378,-0.75344,-1.00091,-0.79954,after Th
-0.83938,-0.63839,-0.73718,-0.98074,-0.78706,-0.75826,-0.71121,-0.77311,-0.60904,-0.88878,-0.89145,-0.62171,-0.91057,-0.97253,-0.86776,-0.8968,-0.73656,-0.77508,-0.92258,-0.6514,-0.69021,-0.97163,-0.91068,-1.05921,-0.95328,after Th
-0.2901,-0.32021,-0.50492,0.82017,0.66361,-0.12124,-0.22215,-0.1348,-0.61377,0.17743,0.02469,-0.45951,-0.53497,-0.04938,-0.41866,0.7299,-0.01059,-0.30826,1.22874,-0.2658,-0.05777,1.09098,0.05485,1.20559,-0.82217,after Th
-0.96062,-0.56125,-0.82959,-0.93448,-0.73372,-0.8994,-0.62549,-0.71034,-0.56843,-0.86584,-0.85594,-0.61647,-0.8653,-0.99435,-0.98532,-0.72874,-0.95309,-0.80517,-1.01426,-0.67249,-0.69726,-0.80558,-0.83977,-0.94665,-0.84412,after Th
-0.75875,-0.60804,-0.67213,-0.91419,-0.65476,-0.64938,-0.8113,-0.71406,-0.66685,-0.92051,-0.90262,-0.5983,-0.88287,-0.97307,-0.83467,-0.98592,-0.73609,-0.78058,-0.96908,-0.5742,-0.66567,-0.89337,-0.78747,-1.03685,-0.63683,after Th
0.13714,-0.43826,-0.3112,-0.02601,-0.27962,0.42735,-0.48405,-0.20696,-0.01907,0.19654,0.18031,-0.42627,-0.20422,0.71289,0.55782,-0.00864,0.25447,0.19727,0.44357,-0.41793,0.28669,0.4955,0.31417,0.79201,1.20854,after Th
-0.88937,-0.63637,-0.67618,-0.92133,-0.77371,-0.77,-0.81149,-0.734,-0.60087,-0.89312,-0.89514,-0.60581,-0.86413,-0.66037,-0.8565,-0.9154,-0.71438,-0.58716,-1.03968,-0.56783,-0.77083,-0.94216,-0.77257,-1.01763,-0.85435,after Th
0.12018,-0.54139,-0.38696,-0.21013,-0.10133,0.20076,-0.34343,-0.41458,-0.3107,0.4192,0.37414,-0.52487,0.02406,0.48427,0.1028,-0.11829,-0.45766,-0.44699,0.33525,-0.14857,-0.26244,-0.21761,-0.49127,0.35126,-0.54029,after Th
-0.9187,-0.62393,-0.75786,-0.88835,-0.7499,-0.80414,-0.71715,-0.77432,-0.59097,-0.80876,-0.93694,-0.64334,-0.84697,-0.8541,-0.88792,-0.73483,-0.94585,-0.91823,-0.96828,-0.67027,-0.65644,-0.93563,-0.7825,-0.90644,-0.57668,after Th
-0.75623,-0.61032,-0.75568,-0.83236,-0.75435,-0.78375,-0.72238,-0.72077,-0.53824,-0.81395,-0.73471,-0.62801,-0.64005,-0.90631,-0.9097,-0.79942,-0.59827,-0.03939,-0.83879,-0.5163,-0.66461,-0.99074,-0.68444,-0.96771,-0.72836,after Th
-0.84406,-0.61315,-0.74851,-0.95607,-0.77165,-0.78136,-0.80683,-0.70775,-0.68362,-0.86951,-0.94341,-0.59925,-0.87826,-1.04063,-0.83047,-0.64447,-0.60022,-0.79061,-1.01144,-0.66372,-0.71278,-0.91314,-0.74953,-1.05901,-0.88335,after Th
-0.92057,-0.60738,-0.77499,-0.95064,-0.61811,-0.76817,-0.7084,-0.74751,-0.67863,-0.85427,-0.9141,-0.65293,-0.88081,-0.96349,-0.97113,-0.78561,-0.85304,-0.89441,-1.00874,-0.57458,-0.69243,-0.86663,-0.81526,-0.89942,-0.45001,after Th
-0.06341,-0.37401,-0.22587,-0.06517,0.2143,-0.13882,-0.15801,-0.29971,-0.53832,0.44066,0.27686,-0.55364,-0.23702,0.40517,-0.47078,-0.14383,0.61356,-0.06863,0.3893,-0.1283,-0.56996,0.18681,0.54675,1.00023,-0.90882,after Th
-0.85963,-0.58407,-0.84259,-0.85587,-0.6814,-0.88898,-0.72698,-0.77335,-0.46787,-0.88406,-0.89361,-0.59477,-0.99657,-0.95129,-0.8452,-0.92597,-0.93193,-0.8194,-1.05808,-0.60549,-0.60373,-0.83858,-0.73537,-0.97434,-0.75588,after Th
-0.88065,-0.62787,-0.78635,-0.93507,-0.79143,-0.81536,-0.65613,-0.70989,-0.68199,-0.80002,-0.87488,-0.64303,-0.93848,-0.91345,-0.87883,-0.86771,-0.7773,-0.93428,-0.90637,-0.57504,-0.61147,-0.91853,-0.82561,-0.93793,-0.66435,after Th
0.20925,-0.20289,0.09722,0.09848,-0.82654,0.83657,-0.13854,0.2624,-0.53961,0.44946,-0.02366,0.23229,-0.57893,-0.17029,0.89867,0.51368,0.88688,-0.14093,0.66933,-0.39679,0.83099,0.68187,1.35937,0.30749,0.14685,after Th
-0.85669,-0.63749,-0.01057,-0.93461,-0.80119,-0.8858,-0.73049,-0.80252,-0.64629,-0.86081,-0.96118,-0.65685,-0.96632,-1.06848,-0.93759,-0.69424,-0.85127,-0.81569,-0.93586,-0.6606,-0.69872,-0.92169,-0.78039,-1.08517,-0.75099,after Th
-0.96017,-0.58513,-0.77465,-0.8137,-0.53796,-0.69255,-0.74415,-0.70152,-0.67812,-0.95025,-0.94814,-0.65325,-0.69538,-0.92508,-0.7351,-0.86794,-0.97907,-0.76694,-1.07429,-0.62042,-0.74544,-0.84936,-0.58975,-0.91317,-0.99614,after Th
-0.92403,-0.61868,-0.72741,-1.02137,-0.78929,-0.86208,-0.74319,-0.82428,-0.6093,-0.83343,-1.02792,-0.55118,-0.9258,-0.93979,-0.99649,-0.85914,-0.70333,-0.80692,-1.01446,-0.6557,-0.68393,-0.8754,-0.8198,-0.98945,-0.69834,after Th
0.50439,-0.43739,-0.10582,0.42254,-0.42373,0.18813,-0.27111,-0.42716,-0.35397,0.36955,0.31652,-0.48885,-0.27864,0.36208,0.15419,0.2281,0.14069,-0.17748,0.85432,-0.29937,-0.04323,0.58422,0.41952,0.31657,-0.03054,after Th
0.7308,-0.59832,-0.57776,0.0468,0.73991,0.32904,0.4709,0.05579,-0.38675,0.04452,0.81734,0.24774,0.59177,0.41008,0.9162,-0.31984,0.34079,0.44203,0.70292,0.21486,-0.28916,0.13687,0.61946,0.83062,-0.80853,after Th
-0.93843,-0.65138,-0.76043,-0.90902,-0.75298,-0.87326,-0.76291,-0.78618,-0.54245,-0.81887,-0.93976,-0.64133,-0.86041,-0.97438,-0.97063,-0.7897,-0.63697,-0.57405,-1.03458,-0.66728,-0.74364,-0.85601,-0.83174,-0.84911,-0.97488,after Th
-0.8873,-0.44849,-0.67827,-0.72507,-0.5479,-0.84861,-0.78698,-0.72599,-0.64104,-0.74938,-0.86839,-0.46475,-0.96921,-1.01793,-0.82075,-0.52857,-0.95513,-0.74398,-1.02708,-0.70925,-0.54658,-0.89201,-0.67598,-1.02822,-0.98591,after Th
0.61998,0.15673,-0.21188,0.81812,-0.70417,-0.76785,-0.5436,-0.47379,0.51584,-0.15169,0.10533,-0.51465,1.44152,-0.49832,-0.18308,-0.77334,-0.28726,-0.8015,-0.23382,-0.66244,0.09125,-0.44107,0.71224,-0.06315,0.58951,after Th
-0.95491,-0.65228,-0.7787,-0.91962,-0.81969,-0.83893,-0.74045,-0.79435,-0.68121,-0.86359,-0.951,-0.57856,-0.98671,-0.90926,-0.94695,-0.91262,-0.82621,-0.71716,-0.9856,-0.68875,-0.69598,-0.81315,-0.90814,-0.89083,-0.76725,after Th
-0.8534,-0.62667,-0.61866,-0.89545,-0.93135,-0.78281,-0.70777,-0.68251,-0.56904,-0.8494,-0.91222,-0.5573,-0.85504,-0.88557,-0.91608,-0.96339,-0.66602,-0.88371,-0.88907,-0.60736,-0.66862,-0.82061,-0.79687,-1.0185,-0.65946,after Th
