531_at,35760_at,418_at,33337_at,34965_at,39310_at,38415_at,36028_at,33170_at,1434_at,38692_at,38559_at,38712_at,32816_at,34668_at,32318_s_at,40656_at,31633_g_at,37194_at,34862_at,34910_s_at,37541_at,955_at,34722_at,37490_at,39983_at,31535_i_at,40245_at,41084_at,38413_at,36964_at,33888_at,35739_at,1152_i_at,1308_g_at,32340_s_at,32954_at,34373_at,41222_at,41824_at,36115_at,36755_s_at,1929_at,32063_at,40447_at,34666_at,37446_at,36100_at,32725_at,41276_at,33386_at,32540_at,34225_at,36720_at,33294_at,31692_at,AFFX-M27830_M_at,36152_at,202_at,34033_s_at,33245_at,38626_at,39884_g_at,225_at,37930_at,1857_at,1000_at,35719_at,36143_at,35827_at,41469_at,41717_at,31744_at,39676_at,33414_at,33369_at,37409_at,41736_g_at,1076_at,914_g_at,34782_at,33404_at,32049_f_at,41710_at,1817_at,41798_at,37948_at,39586_at,37920_at,39954_r_at,41725_at,1389_at,34140_at,39130_at,37758_s_at,41579_s_at,38109_at,38788_at,39023_at,38526_at,class
-0.573,-0.8955,-0.772,-0.756,-0.7927,-0.526,-0.7158,-0.6425,-0.794,-0.8729,-0.7828,-0.8816,-0.7838,-0.8119,-0.6639,-0.9292,-0.6774,-0.867,-0.5124,-0.617,-0.5537,-0.8231,-0.8898,-0.445,-0.73,-0.9337,-0.7899,-0.7221,-0.8295,-0.6032,-0.9277,-0.7075,-1.0084,-0.6317,-0.7382,-0.7107,-0.7831,-0.8814,-0.984,-0.8419,-0.9045,-0.6244,-0.5961,-0.2856,-0.7531,-0.7845,-0.8825,-0.8124,-0.7685,-0.8824,-0.8328,-0.8177,-0.9399,-0.3053,-0.8256,-0.2715,-0.6025,-1.0435,-0.8755,-0.6504,-0.5564,-1.1076,-0.7371,-0.6784,-0.6573,-0.7613,-0.573,-0.7685,-0.5832,-0.9907,-0.6163,-0.6012,-0.5618,-0.0822,-0.6689,-0.7403,-0.822,0.2997,-0.3053,-0.5673,-0.8205,-0.2319,-0.6141,-0.2973,-0.7347,-0.7239,-0.823,-0.6316,-0.3792,-0.6931,-0.8026,-0.5152,-0.5103,-0.9799,-0.8368,-0.7439,-0.7135,-0.7394,-0.6796,-0.819,after Th
-0.65,-0.8699,-0.8234,-0.7422,-0.0701,-0.5773,-0.314,-0.4832,-0.8464,-0.9508,-0.6591,-0.7919,-0.6619,-1.0317,-0.821,-0.6995,-0.4343,-0.9108,-0.4539,-0.6914,-0.5852,-0.3942,-0.8226,-0.6866,-0.8609,-0.6515,-0.7662,-0.7806,-0.7227,-0.5343,-0.9574,-0.5753,-0.9166,-0.5157,-0.8034,-0.7932,-0.712,-0.7809,-0.7634,-0.8761,-1.0353,-0.7548,-0.7616,-0.3403,-0.7283,-0.5645,-0.7118,-0.5615,-0.6755,-0.9512,-0.7124,-0.8432,-0.9244,-0.9525,-0.8118,-0.6846,-0.2601,-0.9662,-0.7639,-0.9099,-0.7898,-0.8067,-0.7833,-0.6731,-0.6275,-0.6872,-0.65,-0.9609,-0.5857,-0.8003,-0.687,-0.8609,-0.524,-0.4431,-0.8387,-0.5927,-0.6929,-0.7698,-0.9525,-0.9044,-0.8248,-0.4901,-0.4285,-0.5528,-0.8738,-0.7104,-0.7954,-0.6217,-0.6713,-0.793,-0.9062,-0.8331,-0.4965,-1.0238,-0.4826,-0.9302,-0.8231,-0.8937,-0.9366,-0.7601,after Th
1.0979,2.4896,-0.1588,0.2076,1.6781,-0.5063,5.276,-0.4257,1.4238,1.6629,1.5811,0.9713,0.2496,0.2319,1.199,1.004,-0.5871,1.7567,0.1814,1.3096,0.3578,1.955,0.0843,0.2406,-0.3231,1.9588,0.0269,0.9665,-0.1876,0.6765,1.0116,0.0115,0.4547,0.1808,1.6367,1.7028,1.3364,1.0609,1.6152,2.7322,1.935,-0.036,0.5319,-0.1824,-0.0657,-0.6787,1.4041,-0.6139,0.2907,0.6482,0.2386,0.1053,0.9488,0.4433,0.9465,0.5291,0.1747,0.1744,1.5603,-0.8246,-0.5859,1.4188,1.113,1.8847,-0.5159,-0.5212,1.0979,-1.0359,1.2131,1.9621,0.0953,0.8071,1.1017,-0.3819,1.1183,1.0798,1.5768,-0.6713,0.4433,-0.3601,1.2769,-0.2997,0.6304,-0.8798,1.5902,0.6009,0.7329,-0.4595,-0.6196,1.552,0.036,-0.7645,-0.401,0.399,0.9414,2.2379,2.5249,0.6986,0.4614,-0.4394,after Th
-0.5983,-0.8649,-0.8509,-0.822,-0.777,-0.6225,-0.5785,-0.6316,-0.7318,-0.7131,-0.4531,-0.7343,-0.7744,-0.807,-0.7422,-1.0756,-0.5333,-0.8628,-0.4358,-0.7055,-0.4884,-0.7137,-0.8351,-0.5851,-0.8147,-0.6596,-0.807,-0.5416,-0.4759,-0.5807,-0.5908,-0.7798,-0.3779,-0.39,-0.89,-0.924,-0.9602,-0.7325,-0.8932,-0.7276,-0.9426,-0.6159,-0.7479,-0.3411,-0.5034,-0.8514,-0.7588,-0.6532,-0.9327,-0.8149,-0.4349,-0.7106,-0.776,-0.6576,-0.7825,-0.6768,-0.5396,-1.046,-0.7613,-0.785,-0.7864,-0.6877,-0.8021,-0.7724,-0.5831,-0.3615,-0.5983,-0.9475,-0.7134,-0.8426,-0.5768,-0.7134,-0.5763,-0.4045,-0.7293,-0.8525,-0.6261,-0.8591,-0.6576,0.1328,-0.6822,-0.491,-0.5918,-0.4343,-0.7675,-0.5749,-0.608,-0.6164,-0.471,-0.4012,-0.8676,-0.8572,-0.6332,-0.8231,-0.7854,-0.8811,-0.4847,-0.9924,-0.8715,-0.5343,after Th
-0.7221,-0.8959,-0.6539,-0.8867,-0.3595,0.0023,-0.6486,-0.3537,-0.8943,-0.9437,-0.7813,-0.6397,-0.7937,-0.938,-0.9717,-0.7877,-0.5846,-0.5997,-0.4481,-0.65,-0.1804,-0.518,-0.5873,-0.5982,-0.8892,-0.6235,-0.6274,-0.7386,-0.5543,-0.6515,-0.839,-0.931,-0.6531,-0.6279,-1.0413,-0.894,-0.9127,-0.6827,-0.9722,-1.0041,-1.0531,-0.6387,-0.7199,-0.3368,-0.7917,-0.3936,-0.858,-0.849,-0.8933,-0.9554,-0.5846,-0.8717,-0.9345,-0.9478,-1.0014,-0.6822,-0.33,-0.7385,-0.5589,0.0345,-0.2003,-0.8573,-0.8581,-0.5945,-0.5881,-0.2688,-0.7221,-0.7314,-0.5196,-0.9691,-0.3652,-0.9289,-0.6376,-0.4674,-0.7924,-0.605,-0.874,-0.603,-0.9478,-0.5817,-0.9111,-0.3356,-0.2278,-0.0679,-1.0033,-0.7484,-0.8167,-0.5983,-0.6194,-0.9021,-0.647,-0.1603,-0.4179,-0.81,-0.6385,-0.8194,-0.7778,-0.8104,-0.9426,-0.7065,after Th
-0.7009,-0.0099,0.7356,0.8005,-0.5884,-0.0249,0.2876,1.5623,0.3397,0.163,1.2351,1.852,0.3966,1.04,0.5507,0.5732,0.2717,-0.6163,0.7341,0.2585,1.0739,-0.3339,1.059,-0.6692,1.0739,0.1904,-0.0036,0.3765,2.3231,0.2848,1.3681,1.467,1.8371,-0.0318,-0.0188,1.0025,0.7968,1.1598,0.371,-0.3883,1.5621,-0.1755,-0.1168,-0.3071,0.2514,1.0478,0.6757,0.7598,1.0349,0.2124,1.7102,-0.0293,0.5925,0.4154,0.3242,-0.0788,-0.4391,1.8706,1.5797,1.7551,0.8795,0.7096,-0.1481,0.4972,0.6537,0.3128,-0.7009,2.0956,0.3595,0.5866,-0.0156,1.3742,-0.1339,0.0763,0.8802,-0.0085,-0.4685,0.485,0.4154,1.5884,0.1286,-0.3794,-0.5297,1.582,1.2451,0.5761,0.0339,-0.4262,-0.1938,0.6719,2.1133,2.4751,-0.061,1.5194,-0.0287,0.7996,0.6925,-0.1249,-0.2561,-0.377,after Th
-0.6153,-0.9425,0.2369,-0.8286,-0.4376,-0.5659,-0.687,-0.1148,-0.8361,-0.9137,-0.6505,-0.8557,-0.6948,-0.8169,-0.7091,-0.8995,-0.904,-0.5417,-0.4469,-0.6413,-0.5535,-0.8855,-0.7525,-0.4493,-0.9171,-0.7742,-0.8366,-0.712,-0.6955,-0.4461,-1.0117,-0.8606,-0.8191,-0.6213,-0.7964,-0.9289,-0.5889,-0.7403,-0.8512,-0.9167,-0.92,-0.7378,-0.7603,-0.2832,-0.6408,-0.6206,-0.8239,-0.5548,-0.9556,-0.8985,-0.7162,-0.8526,-0.7672,-0.7254,-0.8195,-0.7182,-0.6581,-0.8777,-0.8845,-0.5474,-0.4351,-0.7467,-0.8055,-0.6187,-0.6415,-0.7845,-0.6153,-0.8024,-0.5841,-1.002,-0.6847,-0.5146,-0.5898,-0.4337,-0.4716,-0.6882,-0.5954,-0.2261,-0.7254,-0.7537,-0.8818,-0.4948,-0.5996,-0.8691,-1.0394,-0.7317,-0.668,-0.6058,-0.707,-0.6699,-0.6792,-0.5549,-0.6262,-0.9693,-0.6513,-0.8714,-0.6113,-0.7955,-0.8922,-0.8064,after Th
0.5569,0.5021,0.303,2.2505,1.0235,-0.5738,0.1263,2.7153,0.5972,-0.2143,1.1759,0.4249,0.3808,0.2802,0.8372,1.0044,-0.5023,0.6945,8.3623,0.9517,0.5161,0.9376,0.0237,-0.0236,0.4575,0.0964,-0.5121,-0.1265,0.281,1.3043,0.6274,0.5099,1.394,-0.6314,0.4085,2.0839,0.256,1.5241,2.0438,0.6679,1.6403,0.487,-0.1152,-0.2818,1.2664,0.5844,-0.7459,0.7952,1.4565,-0.0345,-0.6078,-0.2075,0.3855,-0.2507,0.1532,4.9377,0.2498,1.5559,0.7655,0.7644,0.0942,1.3639,-0.1245,0.3353,-0.463,0.3685,0.5569,1.4789,0.0574,0.9313,0.0167,-0.1032,-0.1167,0.0043,1.4275,0.4987,0.6678,0.2205,-0.2507,-0.3992,3.721,-0.4645,0.1467,1.3228,1.6419,1.5929,0.6845,-0.5248,1.0121,-0.3153,1.1782,-0.6896,-0.5711,1.4454,0.5164,0.5513,-0.2734,0.212,1.8478,-0.7316,after Th
-0.7184,-0.9612,-1.0523,-0.8355,-0.909,-0.5116,-0.5894,-0.2004,-0.5412,-0.949,-0.6426,-0.6713,-0.6963,-0.8878,-0.7312,-0.9582,-0.7277,-0.6605,-0.4936,-0.7719,-0.3239,-0.9132,-0.7639,-0.6396,-0.7978,-0.7441,-0.8198,-0.5749,-1.0379,-0.6196,-0.9474,-0.9286,-0.7921,-0.3461,-0.8781,-0.9171,-0.6688,-0.8306,-0.3644,-0.8827,-0.791,-0.6452,-0.7624,-0.2942,-0.6824,-0.4679,-0.7868,-0.7256,-0.5987,-0.9116,-0.7738,-0.8002,-0.8777,-0.7016,-0.8928,-0.7,-0.6545,-0.719,-0.9598,-0.6706,-0.7595,-0.8671,-0.8768,-0.8861,-0.5752,-0.7421,-0.7184,-0.6892,-0.7676,-0.6887,-0.5324,-0.6877,-0.6466,-0.4641,-0.6571,-0.5664,-0.7583,-0.7547,-0.7016,-0.7272,-0.9357,-0.4865,-0.4621,-0.4572,-0.9036,-0.6294,-0.7162,-0.6433,-0.6371,-0.747,-1.0164,-0.1954,-0.4596,-0.9429,-0.8317,-0.7121,-0.678,-0.692,-0.8527,-0.5337,after Th
-0.6311,-0.9633,-0.6229,-0.8877,-0.3776,-0.5554,-0.6749,-0.7361,-0.7825,-0.8429,-0.7639,-0.686,-0.7009,-0.9606,-0.6289,-0.7394,-0.9564,-0.6942,-0.4704,-0.6777,-0.1841,-0.6426,-0.8744,-0.5358,-0.7403,-0.5979,-0.8008,-0.5544,-0.948,-0.6581,-1.0225,-0.8476,-0.3945,-0.5023,-0.9001,-0.9197,-0.8611,-0.7618,-0.8288,-0.98,-0.8987,-0.7991,-0.7458,0.6296,-0.4894,-0.5894,-0.5238,-0.7476,-0.5512,-0.8454,-0.8191,-0.716,-0.867,-0.7403,-0.8951,-0.8631,-0.5417,-1.0306,-0.7788,-0.6783,-0.4537,-0.495,-0.6588,-0.6255,-0.6192,-0.4671,-0.6311,-0.8291,-0.5479,-0.7802,-0.5959,-0.7043,-0.4175,-0.4757,-0.6523,-0.7859,-0.849,-0.4348,-0.7403,-0.8521,-0.543,-0.4891,-0.3729,-0.3983,-0.9263,-0.6133,-0.8019,-0.628,-0.3868,-0.7969,-0.87,-0.6933,-0.6654,-0.9017,-0.7776,-0.9836,-0.7892,-0.8701,-0.8764,-0.5141,after Th
