34255_at,856_at,33812_at,36499_at,1220_g_at,40077_at,40096_at,37318_at,38635_at,33818_at,class
-0.4959,-0.8556,-0.7576,-0.2377,-1.3466,-0.732,0.094,-0.4829,0.5168,1.0155,ALL
1.0192,-1.0947,-0.0594,0.0903,-0.3666,-0.1934,2.1009,0.3489,1.4154,1.9902,ALL
-0.8416,-0.2762,0.0396,-0.9032,-1.2794,-1.6252,-1.003,0.347,-0.848,-0.6759,ALL
-0.8767,-0.6652,0.6877,-0.8838,-1.6386,1.4086,-1.3852,2.511,-0.478,-1.4762,ALL
2.914,-0.2722,-1.5868,-0.4065,2.0177,0.2572,0.9158,-0.8195,-0.0022,1.684,ALL
0.7694,0.9757,0.7098,-0.4337,-0.0574,-0.0365,-0.0741,-0.8076,2.2288,0.1635,ALL
1.0476,0.7934,-0.4171,-0.0495,0.9419,-0.3569,-0.2661,-0.7109,-0.5797,0.2356,ALL
-0.3012,-0.5193,-0.887,0.6801,-0.1887,0.087,0.3916,-0.6776,-0.1559,0.3905,ALL
-0.8291,-0.7462,-0.4336,1.1846,-0.2685,-1.0578,-1.207,-0.9433,-0.9711,-1.365,ALL
-0.451,0.4206,-0.6053,-0.9459,0.8555,1.9794,1.2355,0.1984,1.1697,0.4244,ALL
-0.7416,1.9481,-1.0454,1.8948,0.1206,1.7457,0.3581,-0.4048,-0.7161,0.2614,ALL
-1.2423,1.1702,-1.0641,-0.6898,-0.8455,1.3886,-1.0258,-0.0887,-0.0777,-1.1193,ALL
-0.1343,-0.3492,0.9948,-0.6122,0.4381,0.4875,0.4924,-0.2782,-0.5495,0.7822,ALL
0.2426,0.2343,-0.1783,1.9802,0.631,1.185,-0.3901,-0.2634,-0.5326,-0.8433,ALL
-0.5248,0.6475,1.4349,2.7137,0.6476,-1.4349,0.8587,-0.5143,-0.5033,-0.6118,ALL
-0.7099,-0.7341,0.9188,-0.2513,-1.0134,-0.3936,-1.4198,0.6517,-1.1697,-1.6676,ALL
0.6127,1.9318,1.2325,-0.1465,0.2203,-1.1646,1.5264,3.2328,0.3221,-1.0044,ALL
-1.1435,-1.3256,-0.942,-0.8916,-1.5588,-0.4303,-1.1992,0.4565,-0.868,-1.0863,ALL
-0.7314,0.0641,0.1981,0.3425,0.217,1.7391,0.237,-0.4672,0.3852,-0.3305,ALL
0.086,1.0972,0.9948,0.8237,0.7856,0.1337,0.5121,-0.4105,-0.4415,1.8033,ALL
0.5287,-0.4383,-0.9783,-0.814,-0.2436,0.0403,0.4744,1.0755,-0.7427,-0.011,ALL
-0.2966,-0.4221,2.3274,0.2843,1.7882,-0.5104,-0.4464,-0.0296,-0.4758,-0.0991,ALL
1.2213,-1.0987,-0.3434,-0.0883,1.1431,-0.1934,-0.471,-0.8857,-0.5379,0.7395,ALL
0.061,-1.2,-1.052,-1.9355,-1.168,-1.4249,1.1001,-1.2704,3.0004,-0.9653,ALL
1.0101,-0.256,-1.0663,-1.1904,-0.7673,-0.4537,0.947,0.1042,0.136,0.8695,MLL
0.0281,-1.3783,-1.9764,-1.9433,-0.8954,-1.1279,-1.2227,-0.2801,-0.5326,-0.5558,MLL
0.229,-0.9366,-1.1456,-0.1814,0.4481,0.6377,0.4713,-0.2758,2.1324,1.2522,MLL
0.7002,-0.3573,-0.4457,0.1097,-0.3699,-0.9743,-1.0881,-0.8785,-1.0226,-0.1383,MLL
-1.458,-0.7017,-0.5777,-0.5889,-1.8132,-0.0499,-1.8127,2.7762,-0.5904,-1.3667,MLL
-0.1411,-0.5315,1.5549,-1.0624,-0.887,-0.4036,-0.0976,-0.6862,-0.7063,-0.0955,MLL
