34255_at,856_at,33812_at,36499_at,1220_g_at,40077_at,40096_at,37318_at,38635_at,33818_at,38027_at,966_at,37796_at,40991_at,33357_at,38647_at,39458_s_at,37557_at,35560_at,843_at,class
-0.4959,-0.8556,-0.7576,-0.2377,-1.3466,-0.732,0.094,-0.4829,0.5168,1.0155,-0.525,0.01,-0.1851,0.5009,0.4312,-1.0536,0.6703,-1.2096,-0.1575,1.7195,ALL
1.0192,-1.0947,-0.0594,0.0903,-0.3666,-0.1934,2.1009,0.3489,1.4154,1.9902,0.958,1.9367,-0.9544,-0.37,-0.8593,0.348,-0.0515,-0.4471,-0.9053,0.5854,ALL
-0.8416,-0.2762,0.0396,-0.9032,-1.2794,-1.6252,-1.003,0.347,-0.848,-0.6759,1.174,-1.2273,-0.5042,-1.1276,-0.0307,-1.7214,0.4456,-1.6296,0.2304,0.5219,ALL
-0.8767,-0.6652,0.6877,-0.8838,-1.6386,1.4086,-1.3852,2.511,-0.478,-1.4762,-0.9886,-0.3897,-1.1306,2.8555,-1.1623,-1.0002,-0.1896,-0.5474,-0.9201,2.7003,ALL
2.914,-0.2722,-1.5868,-0.4065,2.0177,0.2572,0.9158,-0.8195,-0.0022,1.684,-0.1836,0.5568,1.5442,-0.613,0.1548,0.8321,-0.5027,0.4737,-0.1679,-1.2418,ALL
0.7694,0.9757,0.7098,-0.4337,-0.0574,-0.0365,-0.0741,-0.8076,2.2288,0.1635,0.1951,0.6972,-0.538,-0.2938,0.2414,1.2044,-1.0827,-0.2924,-0.0499,-0.6788,ALL
1.0476,0.7934,-0.4171,-0.0495,0.9419,-0.3569,-0.2661,-0.7109,-0.5797,0.2356,-0.6296,0.0364,0.0003,-0.1747,-0.2347,0.6154,-0.0239,0.3543,-0.2121,-0.9776,ALL
-0.3012,-0.5193,-0.887,0.6801,-0.1887,0.087,0.3916,-0.6776,-0.1559,0.3905,0.3157,-0.5446,1.626,0.1207,1.744,1.109,0.7495,0.765,-0.6399,-1.1169,ALL
-0.8291,-0.7462,-0.4336,1.1846,-0.2685,-1.0578,-1.207,-0.9433,-0.9711,-1.365,-0.6661,-0.8763,1.4045,-0.9084,-0.4202,-0.7331,0.5285,0.2884,1.3661,-0.6554,ALL
-0.451,0.4206,-0.6053,-0.9459,0.8555,1.9794,1.2355,0.1984,1.1697,0.4244,-0.5623,0.7093,0.2157,0.2446,-1.1746,0.5744,1.2374,0.978,-0.0204,-0.0066,ALL
-0.7416,1.9481,-1.0454,1.8948,0.1206,1.7457,0.3581,-0.4048,-0.7161,0.2614,1.3479,-0.7262,1.2416,2.1742,0.7608,0.3777,-0.3093,1.8645,-0.3744,-0.3666,ALL
-1.2423,1.1702,-1.0641,-0.6898,-0.8455,1.3886,-1.0258,-0.0887,-0.0777,-1.1193,-0.4136,-0.4284,-0.6216,-0.3081,0.3032,-1.185,1.5413,-1.1043,0.4516,1.6635,ALL
-0.1343,-0.3492,0.9948,-0.6122,0.4381,0.4875,0.4924,-0.2782,-0.5495,0.7822,0.7027,-0.7044,0.3429,-0.8227,-0.142,-0.063,-1.4602,-0.4614,0.4664,-0.4804,ALL
0.2426,0.2343,-0.1783,1.9802,0.631,1.185,-0.3901,-0.2634,-0.5326,-0.8433,-1.6758,1.9343,-0.8308,0.8068,1.3916,0.796,1.2006,1.3429,-0.2711,0.62,ALL
-0.5248,0.6475,1.4349,2.7137,0.6476,-1.4349,0.8587,-0.5143,-0.5033,-0.6118,0.7869,0.0896,-1.6156,-1.6517,-2.6278,1.885,-1.1932,0.1671,-3.693,-1.0311,ALL
-0.7099,-0.7341,0.9188,-0.2513,-1.0134,-0.3936,-1.4198,0.6517,-1.1697,-1.6676,-0.5791,-0.8545,-1.0114,-0.675,-0.7851,-0.5642,0.1418,-1.2724,0.2746,0.0191,ALL
0.6127,1.9318,1.2325,-0.1465,0.2203,-1.1646,1.5264,3.2328,0.3221,-1.0044,0.4026,-0.6923,-1.1333,-1.4373,-0.6861,2.1346,-3.32,-0.3497,0.3041,1.9411,ALL
-1.1435,-1.3256,-0.942,-0.8916,-1.5588,-0.4303,-1.1992,0.4565,-0.868,-1.0863,-1.2916,-0.9174,-0.2328,-0.1699,0.9092,-0.2346,1.2282,0.1547,0.6876,-1.0277,ALL
-0.7314,0.0641,0.1981,0.3425,0.217,1.7391,0.237,-0.4672,0.3852,-0.3305,0.2876,0.4527,1.1313,0.1922,0.6495,-0.2845,0.906,1.3582,-0.9791,-0.0768,ALL
0.086,1.0972,0.9948,0.8237,0.7856,0.1337,0.5121,-0.4105,-0.4415,1.8033,1.7826,1.6414,0.4826,-0.0365,0.3774,0.6953,-0.162,-0.257,0.0091,0.3647,ALL
0.5287,-0.4383,-0.9783,-0.814,-0.2436,0.0403,0.4744,1.0755,-0.7427,-0.011,-0.8372,-0.6802,0.6205,0.0969,-0.9829,-1.1899,-0.2633,-0.5799,1.0563,-0.3979,ALL
-0.2966,-0.4221,2.3274,0.2843,1.7882,-0.5104,-0.4464,-0.0296,-0.4758,-0.0991,-1.3673,0.5689,0.3322,-0.3748,-0.6861,-0.0547,-0.4566,0.509,1.5431,-0.3488,ALL
1.2213,-1.0987,-0.3434,-0.0883,1.1431,-0.1934,-0.471,-0.8857,-0.5379,0.7395,-0.063,1.0168,-0.4375,-0.3796,0.3836,0.7479,-0.7236,0.3591,1.3071,-1.1526,ALL
0.061,-1.2,-1.052,-1.9355,-1.168,-1.4249,1.1001,-1.2704,3.0004,-0.9653,0.9748,-0.9344,-1.386,-0.4796,1.0205,-1.3677,0.4641,-1.7739,0.5254,-0.3053,ALL
1.0101,-0.256,-1.0663,-1.1904,-0.7673,-0.4537,0.947,0.1042,0.136,0.8695,-0.7306,-0.3752,-0.7525,-0.3462,0.9031,0.5478,1.5229,-0.7967,-0.5219,-1.1615,MLL
0.0281,-1.3783,-1.9764,-1.9433,-0.8954,-1.1279,-1.2227,-0.2801,-0.5326,-0.5558,-1.1765,-0.7165,-1.8042,-0.9037,0.4145,-0.8282,0.8231,-1.0059,1.7348,0.5821,MLL
0.229,-0.9366,-1.1456,-0.1814,0.4481,0.6377,0.4713,-0.2758,2.1324,1.2522,-1.0054,0.1622,0.342,-0.6273,-0.3646,0.9499,-1.4418,-0.7671,1.3071,-0.4915,MLL
0.7002,-0.3573,-0.4457,0.1097,-0.3699,-0.9743,-1.0881,-0.8785,-1.0226,-0.1383,-0.4585,-0.5156,0.5164,-1.8089,-0.1729,0.0518,-0.6408,-0.173,-0.7579,0.5899,MLL
-1.458,-0.7017,-0.5777,-0.5889,-1.8132,-0.0499,-1.8127,2.7762,-0.5904,-1.3667,0.3325,-0.9199,-1.3477,-1.3706,1.2061,-1.5302,-0.1436,-0.5035,0.7761,1.2198,MLL
-0.1411,-0.5315,1.5549,-1.0624,-0.887,-0.4036,-0.0976,-0.6862,-0.7063,-0.0955,-0.8119,-0.2638,-1.0238,-0.6273,-0.1358,-0.8925,-0.9538,-1.0212,0.3779,-0.9341,MLL
-0.4624,0.1694,-0.0506,0.2688,0.0241,-0.467,-0.2438,-0.8628,-0.0968,-0.5647,-1.3841,0.1187,0.9524,-0.8989,-0.0678,0.2271,-1.4786,-0.2914,-1.9821,0.0715,MLL
-0.3273,-1.0703,0.5854,-0.8955,-1.1398,-0.7908,0.4367,-0.292,-0.5086,-0.5451,-1.5412,-0.3147,0.0279,0.2827,0.1548,-1.4325,-0.7789,-1.2772,1.0416,-1.1916,MLL
