X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,class
-0.6205,-0.5591,-0.3412,-0.4915,0.3465,0.6527,2.1432,-0.0469,0.2067,-1.0238,ALL
-0.6154,-0.4973,-0.691,-0.3178,-0.1475,-0.1635,-0.651,0.1255,-0.3201,0.0269,ALL
-0.6143,-0.5908,-0.2363,-0.4996,-0.4998,0.7108,-0.7395,1.9434,0.0478,-0.9473,ALL
-0.3956,-0.5829,-0.2822,-0.5914,0.7257,0.8982,0.8135,0.2934,-0.3465,-0.955,ALL
-0.3842,-0.3967,-0.0483,-0.5555,0.3488,0.1272,0.8268,0.8831,-0.2345,1.4709,ALL
-0.6496,-0.4902,-0.785,-0.349,-0.2774,0.0247,-0.8542,0.4511,-0.083,-0.8894,ALL
-0.7606,-0.5826,-0.7281,-0.5798,-0.0913,0.3385,0.7579,1.015,-0.6428,-0.9515,ALL
-0.9127,-0.6648,-0.3631,-0.5821,1.0453,0.0694,0.394,-0.4456,0.4562,-1.0357,ALL
-0.9172,-0.5444,-0.5729,-0.4861,0.4869,1.6527,-0.8074,1.9679,-0.3952,-0.8091,ALL
-0.5101,-0.4891,-0.5467,-0.4594,-0.6813,-0.1729,-0.7538,0.878,-0.5285,-0.7304,ALL
-0.8045,-0.522,-0.6057,-0.6033,-0.4764,1.1853,-0.8989,1.4432,-0.5896,-0.6507,ALL
-0.5579,-0.4673,-0.2844,-0.5238,-0.6438,-0.4164,-0.1178,-0.9643,-0.0635,0.6004,ALL
-0.3779,-0.5084,-0.5795,-0.5574,1.1061,2.9664,0.7343,1.9514,2.2846,-0.3098,ALL
-0.5852,-0.5186,-0.5948,-0.4063,-0.3956,-0.473,-0.8963,-0.5796,-0.7561,-0.2724,ALL
-0.2561,-0.535,-0.7347,-0.5289,1.8119,2.3938,0.9637,1.759,1.1577,-0.3978,ALL
-0.3073,-0.5078,-0.4702,-0.5355,0.4857,0.0899,0.2617,1.2501,1.3407,-0.6862,ALL
