X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,D88270_at,M16038_at,M84371_rna1_s_at,L09209_s_at,M63138_at,class
-0.6205,-0.5591,-0.3412,-0.4915,0.3465,0.6527,2.1432,-0.0469,0.2067,-1.0238,-0.0515,-0.5176,1.6782,-0.0028,-0.5978,ALL
-0.6154,-0.4973,-0.691,-0.3178,-0.1475,-0.1635,-0.651,0.1255,-0.3201,0.0269,-0.6909,-0.1913,-0.7867,-0.5154,-0.2619,ALL
-0.6143,-0.5908,-0.2363,-0.4996,-0.4998,0.7108,-0.7395,1.9434,0.0478,-0.9473,-0.553,-0.8413,-0.4385,-0.7248,-0.0916,ALL
-0.3956,-0.5829,-0.2822,-0.5914,0.7257,0.8982,0.8135,0.2934,-0.3465,-0.955,1.0037,0.1224,0.757,-0.3459,-0.6998,ALL
-0.3842,-0.3967,-0.0483,-0.5555,0.3488,0.1272,0.8268,0.8831,-0.2345,1.4709,0.4616,-0.1132,0.5808,-0.2205,-0.6495,ALL
-0.6496,-0.4902,-0.785,-0.349,-0.2774,0.0247,-0.8542,0.4511,-0.083,-0.8894,-0.7614,-0.5969,-0.7244,-0.6339,-0.4348,ALL
-0.7606,-0.5826,-0.7281,-0.5798,-0.0913,0.3385,0.7579,1.015,-0.6428,-0.9515,-0.2172,-0.568,1.101,-0.6504,-0.1114,ALL
-0.9127,-0.6648,-0.3631,-0.5821,1.0453,0.0694,0.394,-0.4456,0.4562,-1.0357,-0.3109,-0.67,0.0933,-1.0225,-0.3952,ALL
-0.9172,-0.5444,-0.5729,-0.4861,0.4869,1.6527,-0.8074,1.9679,-0.3952,-0.8091,-0.7477,-0.6335,-0.7139,-0.6738,-0.0509,ALL
-0.5101,-0.4891,-0.5467,-0.4594,-0.6813,-0.1729,-0.7538,0.878,-0.5285,-0.7304,-0.6304,-0.796,-1.0157,-0.7083,-0.4344,ALL
-0.8045,-0.522,-0.6057,-0.6033,-0.4764,1.1853,-0.8989,1.4432,-0.5896,-0.6507,-0.7484,-0.9346,-0.8658,-0.7427,-0.5754,ALL
-0.5579,-0.4673,-0.2844,-0.5238,-0.6438,-0.4164,-0.1178,-0.9643,-0.0635,0.6004,-0.5049,-0.4747,-0.2127,-0.7868,-0.4682,ALL
-0.3779,-0.5084,-0.5795,-0.5574,1.1061,2.9664,0.7343,1.9514,2.2846,-0.3098,1.9546,-0.6234,0.1608,-0.319,-0.8268,ALL
-0.5852,-0.5186,-0.5948,-0.4063,-0.3956,-0.473,-0.8963,-0.5796,-0.7561,-0.2724,-0.7531,-0.2354,-0.9629,-0.534,-0.2575,ALL
-0.2561,-0.535,-0.7347,-0.5289,1.8119,2.3938,0.9637,1.759,1.1577,-0.3978,1.1893,0.0985,0.9691,-0.5843,-0.3684,ALL
