X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,D88270_at,M16038_at,M84371_rna1_s_at,L09209_s_at,M63138_at,U46499_at,M22960_at,M89957_at,J05243_at,M31211_s_at,class
-0.6205,-0.5591,-0.3412,-0.4915,0.3465,0.6527,2.1432,-0.0469,0.2067,-1.0238,-0.0515,-0.5176,1.6782,-0.0028,-0.5978,-0.6355,-0.639,0.8504,0.0497,0.7732,ALL
-0.6154,-0.4973,-0.691,-0.3178,-0.1475,-0.1635,-0.651,0.1255,-0.3201,0.0269,-0.6909,-0.1913,-0.7867,-0.5154,-0.2619,-0.509,-0.1215,-0.8464,0.6542,0.166,ALL
-0.6143,-0.5908,-0.2363,-0.4996,-0.4998,0.7108,-0.7395,1.9434,0.0478,-0.9473,-0.553,-0.8413,-0.4385,-0.7248,-0.0916,-0.5537,-0.7659,-1.1867,2.1224,0.5757,ALL
-0.3956,-0.5829,-0.2822,-0.5914,0.7257,0.8982,0.8135,0.2934,-0.3465,-0.955,1.0037,0.1224,0.757,-0.3459,-0.6998,-0.5834,-0.3657,0.5151,-0.303,0.3014,ALL
-0.3842,-0.3967,-0.0483,-0.5555,0.3488,0.1272,0.8268,0.8831,-0.2345,1.4709,0.4616,-0.1132,0.5808,-0.2205,-0.6495,-0.5611,0.1012,1.3832,-0.1047,0.9927,ALL
-0.6496,-0.4902,-0.785,-0.349,-0.2774,0.0247,-0.8542,0.4511,-0.083,-0.8894,-0.7614,-0.5969,-0.7244,-0.6339,-0.4348,-0.6776,-0.7724,-0.8438,2.0938,-0.1924,ALL
-0.7606,-0.5826,-0.7281,-0.5798,-0.0913,0.3385,0.7579,1.015,-0.6428,-0.9515,-0.2172,-0.568,1.101,-0.6504,-0.1114,-0.5599,-0.2893,0.2436,-0.3774,-0.2949,ALL
-0.9127,-0.6648,-0.3631,-0.5821,1.0453,0.0694,0.394,-0.4456,0.4562,-1.0357,-0.3109,-0.67,0.0933,-1.0225,-0.3952,-0.5611,-1.1952,0.6254,0.0859,-0.4631,ALL
-0.9172,-0.5444,-0.5729,-0.4861,0.4869,1.6527,-0.8074,1.9679,-0.3952,-0.8091,-0.7477,-0.6335,-0.7139,-0.6738,-0.0509,-0.5623,0.2712,-0.9006,4.1493,2.1522,ALL
-0.5101,-0.4891,-0.5467,-0.4594,-0.6813,-0.1729,-0.7538,0.878,-0.5285,-0.7304,-0.6304,-0.796,-1.0157,-0.7083,-0.4344,-0.6107,-0.8864,-0.8521,2.1701,1.3255,ALL
-0.8045,-0.522,-0.6057,-0.6033,-0.4764,1.1853,-0.8989,1.4432,-0.5896,-0.6507,-0.7484,-0.9346,-0.8658,-0.7427,-0.5754,-0.5747,-0.8176,-0.8802,1.9126,1.8559,ALL
-0.5579,-0.4673,-0.2844,-0.5238,-0.6438,-0.4164,-0.1178,-0.9643,-0.0635,0.6004,-0.5049,-0.4747,-0.2127,-0.7868,-0.4682,-0.6491,-0.5142,-0.0892,-0.7912,-0.2034,ALL
-0.3779,-0.5084,-0.5795,-0.5574,1.1061,2.9664,0.7343,1.9514,2.2846,-0.3098,1.9546,-0.6234,0.1608,-0.319,-0.8268,-0.6144,-0.7831,1.2819,0.2575,1.0183,ALL
-0.5852,-0.5186,-0.5948,-0.4063,-0.3956,-0.473,-0.8963,-0.5796,-0.7561,-0.2724,-0.7531,-0.2354,-0.9629,-0.534,-0.2575,0.5324,0.3142,-0.8209,0.5245,-0.4558,ALL
-0.2561,-0.535,-0.7347,-0.5289,1.8119,2.3938,0.9637,1.759,1.1577,-0.3978,1.1893,0.0985,0.9691,-0.5843,-0.3684,-0.633,-0.2797,1.2315,0.147,1.8595,ALL
-0.3073,-0.5078,-0.4702,-0.5355,0.4857,0.0899,0.2617,1.2501,1.3407,-0.6862,0.6158,-0.6133,0.6969,-0.8227,-0.4142,-0.6528,-0.6766,0.9683,0.8582,1.0109,ALL
-0.2629,-0.5237,-0.2865,-0.4796,-0.041,-0.297,-0.8754,-0.2841,-0.4452,-0.7124,-0.7871,-0.3047,-0.9619,1.6996,0.4318,3.1619,0.1679,-0.9407,-0.2611,-0.0571,ALL
-0.5682,-0.5004,-0.6035,-0.5378,0.1896,-0.7071,0.159,-0.7838,-0.8809,-0.6862,-0.7556,-0.2971,-0.2897,-0.7682,-0.8543,-0.5846,-0.6422,-0.0101,-0.6329,0.4623,ALL
-0.44,-0.5095,-0.5729,-0.571,0.2341,-0.2452,-0.0541,1.4183,1.6083,-0.5943,-0.7383,-0.922,1.9937,-0.7048,-0.6213,-0.6875,-0.7487,0.6713,0.8715,0.305,ALL
-0.3193,-0.4953,-0.5183,-0.5076,4.1331,1.3149,1.7528,1.9032,2.6395,-1.0229,-0.3627,-0.2014,2.9033,-0.2694,-0.281,-0.5933,0.5928,3.4121,2.1605,4.0139,ALL
-0.7515,-0.5217,-0.6079,-0.5618,1.97,-1.0181,-0.018,1.1072,-0.2555,-0.4686,2.658,-0.4143,-0.2654,-0.6484,-0.9153,-0.6392,-0.511,-0.6909,0.0383,1.0914,ALL
-0.7208,-0.5478,-0.6407,-0.5582,-0.8779,0.0537,0.841,-1.0265,-0.7682,-0.9672,0.8036,-0.6763,0.5882,-0.7097,-0.767,-0.7359,-0.8541,-0.267,-0.5338,-0.902,ALL
-0.8517,-0.5568,-0.6757,-0.4714,-0.508,0.267,-0.6593,-0.2892,-0.5811,-1.0235,-0.7665,-0.9661,-0.6706,-0.6732,-0.6392,-0.6243,-0.8531,-0.8502,-0.3564,-0.0498,ALL
-0.6638,-0.5534,-0.6888,-0.5751,0.9352,0.3836,1.026,0.3014,-0.3198,-0.5406,0.7247,-0.3286,0.6821,-0.4789,-0.6224,-0.6107,-0.4195,0.5329,0.1107,0.5172,ALL
-0.3916,-0.5364,-0.468,-0.5791,-0.5513,-0.5606,0.7327,0.3175,0.0501,0.1072,1.0898,-0.9144,1.2836,-0.8158,-0.6121,-0.5871,-0.7025,-0.0566,-0.5509,0.3343,ALL
-0.5437,-0.4939,-0.6319,-0.5305,1.0359,0.82,1.7763,0.0571,0.8983,-0.5204,1.9875,-0.6398,2.2944,-0.3769,-0.6271,-0.6032,-0.6659,1.9257,1.026,0.9415,ALL
-1.1741,-0.5917,-0.7281,-0.5358,0.0609,-0.2102,0.439,-0.5568,-0.0438,-0.9874,0.6053,-0.3689,0.4721,-0.8978,-0.3346,-0.5487,-0.724,-0.1612,-0.7149,-0.8947,ALL
-0.6889,-0.5704,-0.5445,-0.5521,0.5384,0.203,3.3502,0.6421,1.931,-1.0699,-0.0366,-0.7708,0.1651,-0.8826,-0.7662,-0.5772,-1.1855,1.2334,0.3853,0.3123,ALL
-0.7304,-0.6274,-0.3784,-0.5302,-0.4893,-1.0189,-0.3468,-0.4169,0.6306,-0.6743,-0.1101,0.0267,1.5168,-0.6394,-0.7453,-0.6032,-0.9617,-0.6921,0.7819,-0.507,ALL
-0.7379,-0.514,-0.5751,-0.5002,0.8509,0.8805,0.6266,-0.0157,0.5488,-0.746,0.3628,-0.6436,-0.6326,-0.2598,-0.709,-0.6603,-0.7713,1.1232,-0.6692,-0.101,ALL
-0.563,-0.4213,-0.2844,-0.5238,0.0328,-0.6984,-0.0995,0.03,1.5074,-0.2964,-0.0663,-0.5831,-0.5714,-0.4706,-0.5996,-0.6119,-0.5992,-0.1879,-0.141,0.3782,ALL
-0.3318,-0.5186,-0.4265,-0.5705,1.6434,2.2799,0.9189,3.1444,1.4587,-0.5886,2.9127,-0.7532,1.0736,-0.2536,-0.5126,-0.6032,-0.6056,1.0454,0.0268,2.0534,ALL
-1.034,-0.5327,-0.0592,-0.4765,0.5185,0.4155,2.1306,0.9097,1.2636,-0.8597,2.0313,-0.4861,1.1,-0.9301,-0.1529,-0.576,-0.7186,1.4055,0.5283,-0.1229,ALL
-0.6467,-0.5103,-0.7522,-0.562,0.5326,1.2897,0.2544,0.2363,-0.3646,-0.7019,0.6425,-0.3588,0.3803,-0.4982,-0.6719,-0.6342,-0.3517,0.8784,0.0592,0.8281,ALL
-0.8199,-0.5129,-0.7194,-0.5572,1.3156,0.1892,0.0847,0.208,1.5619,1.1803,0.7062,-0.6965,0.7665,-0.7386,-0.564,-0.4855,-0.2969,0.5718,0.5131,-0.2217,ALL
-0.8768,-0.4897,-0.6319,-0.4587,1.0897,0.9755,3.0291,0.9693,1.96,-1.0309,0.6628,-0.6599,1.0388,-0.6883,-0.6862,-0.7979,-0.242,0.7146,0.3605,1.1719,ALL
-0.825,-0.4877,-0.656,-0.5285,0.2938,1.7127,0.4443,0.2718,3.079,-0.6558,1.7541,-0.8678,0.7117,-0.1227,-0.546,-0.6727,-0.3474,1.1621,-0.385,0.2831,ALL
-0.7743,-0.5024,-0.8309,-0.5333,-0.0515,1.463,0.1802,0.3572,0.8913,-0.9899,0.5032,-0.7595,0.4922,-0.6869,-0.473,-0.7086,-0.1592,1.4011,-0.2687,0.3123,ALL
-0.7658,-0.5699,-0.6691,-0.502,0.2961,-0.5115,0.675,-0.0698,-0.3147,-0.9691,0.4323,-0.4407,0.6694,-0.7427,-0.6591,-0.6367,-0.3152,1.2742,-0.4575,-0.1522,ALL
-0.5004,-0.4868,-0.6276,-0.5478,-0.2294,-0.5924,0.4831,-0.8671,-0.3061,-0.7195,-0.6503,-0.738,0.0828,-0.7586,-0.6392,-0.6925,-0.7982,0.0759,1.1061,-0.6277,ALL
-0.5528,-0.4848,-0.409,-0.4668,0.3944,-0.2734,1.2122,-0.0106,-0.4156,-0.6462,-0.0218,-0.4659,0.3656,-0.5877,-0.9105,-0.5735,-0.7089,-0.0471,0.5912,0.3782,ALL
0.3094,-0.4463,-0.75,-0.5145,3.3933,1.2124,1.0744,1.472,0.9613,-0.3501,2.0863,-0.3954,-0.715,-0.162,-0.5368,-0.6888,0.1044,0.8842,1.2243,0.6964,ALL
-0.5653,-0.4744,-0.3609,-0.5687,0.9013,2.3718,0.5882,1.4775,0.6993,-0.3994,1.5909,-0.3412,1.0989,-0.337,-0.3574,-0.6479,-0.5034,2.1685,0.3453,0.6708,ALL
0.6055,-0.4367,-0.3718,-0.1972,-0.1112,-0.2522,-0.7133,-0.714,-0.8468,0.3281,-0.7086,0.8468,-0.6991,0.2259,-0.1177,-0.6429,-0.426,-0.6169,-0.1238,-0.6935,ALL
-0.2903,-0.5007,-0.5642,-0.4823,-0.2376,0.1016,-0.4034,-0.1243,-0.3303,-0.4221,-0.2324,-0.704,2.5519,-0.4424,-0.8334,-0.6566,-0.5917,-0.0031,-0.3107,0.1806,ALL
-0.698,-0.4795,-0.3609,-0.4503,0.3195,-0.2746,0.6899,-1.048,0.6061,-0.7278,0.5528,-0.7443,1.4777,-0.6001,-0.4491,-0.483,-0.7369,0.8421,1.4779,-0.7301,ALL
-0.5778,-0.4882,-0.6451,-0.5117,0.0737,1.8659,-0.1913,0.755,1.5428,0.3626,2.2064,-0.7922,0.9417,-0.6546,-0.1694,-0.6429,-0.625,1.918,0.2957,0.7403,ALL
0.888,0.8901,2.2581,-0.2883,-0.8486,-1.0283,-0.712,-0.9914,-0.6934,1.6457,-0.7213,1.1315,-0.8986,-0.0662,0.9354,1.9618,1.6966,-0.6781,-0.7206,-0.8655,AML
-0.1923,-0.5673,0.7956,-0.2975,-0.7433,-1.1591,-0.7309,-1.1148,-0.8373,0.0807,-0.7506,-0.0514,-0.8152,-0.0311,0.3195,0.7791,1.0339,-0.877,-1.1439,-1.3556,AML
1.9791,0.8173,1.2088,2.4002,-1.0511,-0.7098,-0.9523,-0.6253,-0.6931,2.313,-0.7549,2.4581,-0.5883,3.1181,3.4207,1.8465,3.2307,-0.9605,-1.2889,-1.1032,AML
0.6972,1.4369,-0.0198,1.6481,-0.9762,-0.8893,-0.8754,-1.0987,-0.7434,1.6332,-0.7155,2.0449,-0.9017,1.1312,1.4999,0.2435,1.0673,-0.6125,-0.9475,-0.9167,AML
0.1613,-0.0342,-0.3106,-0.2679,-0.8767,-0.6411,-0.8645,-1.2801,-0.7851,-0.6692,-0.764,0.0103,-0.5092,-0.1571,-0.2803,0.0253,-0.5034,-0.6016,-0.9781,-1.1508,AML
0.4763,-0.4848,-0.221,-0.3647,-0.7854,-0.72,-0.9483,-0.8134,-0.9181,1.4345,-0.7017,-0.122,-0.926,0.0461,0.4314,-0.4322,-0.0623,-0.8598,-0.9189,-0.3278,AML
1.1163,1.383,0.3015,0.6051,-0.872,-0.625,-0.8111,-0.662,-0.7434,1.7548,-0.7412,0.6666,-1.156,0.6414,-0.1764,0.6105,0.1808,-0.5621,-0.6615,-0.5582,AML
2.7507,1.6107,1.5585,1.8555,-0.906,-0.9054,-0.834,-0.6337,-0.7068,2.441,-0.744,2.4165,-1.1286,2.2866,2.1122,0.9266,3.3943,-0.9363,-0.6596,-1.0593,AML
0.0913,0.891,2.0132,0.6505,-0.7527,-0.8186,-0.8575,-0.5678,-0.7154,0.7915,-0.701,0.3177,-0.7656,-0.1868,0.5841,1.8973,1.3502,-0.9464,-1.0047,-0.7228,AML
1.0873,-0.4389,0.7803,1.4905,-0.4132,-0.8217,-0.8462,-0.8087,-0.4292,-0.0374,-0.7097,2.3989,-0.4828,0.6365,1.5909,-0.483,0.6961,-0.8343,0.084,-0.1851,AML
1.1926,0.088,0.0567,0.0603,-0.9645,-0.5064,-0.9413,-0.6527,-0.8194,1.7536,-0.6948,3.083,-0.678,2.0048,-0.0982,1.4039,-0.2388,-1.1791,-1.1973,-1.2093,AML
0.3527,1.5656,2.4395,2.3974,-1.0359,-0.6968,-0.7952,-0.7136,-0.8376,0.9585,-0.7574,1.2197,-1.0864,1.1904,3.8112,0.4158,2.6982,-0.812,-0.5528,-0.518,AML
1.4136,5.0675,0.7693,2.9833,-0.7445,-0.8068,-0.7203,-1.0404,-0.7987,1.1778,-0.7614,0.94,-0.8342,1.291,1.0672,0.8386,0.1431,-1.0656,-0.9056,-0.8472,AML
0.5395,2.3133,0.3846,-0.0893,-1.0699,-0.995,-0.821,-0.999,-0.8143,1.1461,-0.7459,1.6543,-0.8637,0.1584,-0.0821,0.8832,0.7456,-0.949,-1.0219,-1.191,AML
2.5206,1.3904,1.1169,1.383,-0.968,-0.654,-1.0007,-0.6105,-0.7997,1.2498,-0.7788,2.4682,-0.6801,1.3331,1.1688,1.2713,1.1135,-0.9802,-0.856,-1.169,AML
1.7171,0.7586,0.4633,1.2267,-0.8685,-0.9781,-0.8963,-0.6333,-0.9073,1.2392,-0.7115,0.0997,-0.8479,3.0423,1.1527,0.1071,0.496,-0.4862,-0.4422,0.6781,AML
0.5121,2.3896,0.8961,-0.0197,-0.9692,-0.8897,-0.89,-1.1237,-0.8217,1.7884,-0.7426,-0.418,-0.9049,0.806,1.0763,0.8807,1.0285,-0.7265,-1.0734,-1.3483,AML
0.8447,1.1943,0.5005,1.7959,-0.8849,-0.929,-0.7163,-1.1444,-0.8124,0.0887,-0.7314,0.3076,-1.2605,0.3003,0.321,1.1448,-0.7552,-0.7068,-0.8255,-0.7923,AML
0.4182,0.5747,-0.1772,-0.1363,-0.659,-1.0166,-0.8436,-0.8354,-0.6963,2.2637,-0.7448,-0.4924,-0.7023,0.8322,-0.219,1.2539,0.1335,-0.3447,-0.4728,-0.924,AML
1.0241,0.1248,0.2381,-0.5211,-0.6766,-0.9278,-0.8399,-0.8941,-0.7676,-0.7684,-0.7383,-0.3614,-0.9408,0.2872,-0.0964,3.235,0.9963,-0.5666,-0.5643,-0.6899,AML
0.4592,0.8439,0.3125,1.5558,-0.7597,-1.0448,-0.8479,-1.0624,-0.892,0.5473,-0.7929,-0.0754,-0.9893,0.2955,-0.3181,1.2316,0.1066,-0.6781,-0.6939,-0.7009,AML
-0.481,-0.5325,-0.1663,-0.1951,-0.5806,-0.8956,-0.7412,-0.3564,-0.7586,-0.0115,-0.6847,-0.3979,-0.8532,-0.133,-0.4638,-0.4879,-0.5131,-0.3237,-0.6749,-0.5984,AML
2.5975,1.7671,3.2047,2.6994,-0.9025,-0.7715,-0.8313,-0.7077,-0.8042,0.5767,-0.693,2.4064,-0.3425,3.2518,1.1659,2.7404,1.6353,-0.8776,-1.1039,-1.1544,AML
1.5867,0.2878,3.9064,0.0009,-0.6719,-1.1348,-0.593,-0.9051,-0.8465,0.9393,-0.6872,0.911,-0.1726,0.3658,3.0878,1.0642,1.9311,-1.1472,-0.7416,-1.2385,AML
3.2718,1.0089,2.5969,3.4401,-0.8147,-0.4553,-0.3703,-1.0176,-0.8548,0.6203,-0.7603,1.3369,-0.8289,1.7202,1.5726,0.6997,2.0194,-0.6807,-0.5757,-1.0813,AML
